fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"293",R,"5",,DE PRESSENSE,R DE PRESSENSE,,,,,,,,,,,,,,
"294",R,"5",,SIMONE DE BEAUVOIR,R SIMONE DE BEAUVOIR,privé,,,,,,,,,,,,,
"296",ALL,"4",,DE LA JARDINIERE,ALL DE LA JARDINIERE,,,,,,,,,,,,,,
"297",R,"5",,DE PANURGE,R DE PANURGE,,,,,,,,,,,,,,
"300",AV,"5",,DE L'ESPERANCE,AV DE L'ESPERANCE,,,,,,,,,,,,,,
"301",CH,"5",,DU MERLAN,CH DU MERLAN,,,,,,,,,,,,,,
"302","10","6",ALL LOUISE WEISS,"10","10",privé,,,,,,,,,,,,,
"304",R,"5",,GEORGES GRAFF,R GEORGES GRAFF,,,,,,,,,,,,,,
"308","12","6",ALL LOUISE MICHEL,"12","12",piéton,,,,,,,,,,,,,
"309",R,"5",,HENRY ESPAULLARD,R HENRY ESPAULLARD,,,,,,,,,,,,,,
"310",ALL,"5",,DU MUGUET,ALL DU MUGUET,,,,,,,,,,,,,,
"311",VLA,"5",,DES CERISES,VLA DES CERISES,privé,,,,,,,,,,,,,
"313",R,"4",,DES 5 ORMES,R DES 5 ORMES,,,,,,,,,,,,,,
"314",ALL,"4",,CORNEILLE,ALL CORNEILLE,,,,,,,,,,,,,,
"315","8","6",ALL WATTEAU,"8","8",privé,,,,,,,,,,,,,
"316",R,"5",,AMEDEE GUYARD,R AMEDEE GUYARD,,,,,,,,,,,,,,
